Start write data to file
41.81 111.13 0.00 0.00 3.84
41.81 88.72 0.00 0.00 3.88
41.81 111.13 0.00 0.00 3.99
41.88 109.47 0.00 0.00 4.03
41.94 95.36 0.00 0.00 3.99
41.88 95.36 0.00 0.00 3.99
41.94 103.66 0.00 0.00 3.99
42.06 96.19 0.00 0.00 3.99
42.13 112.79 0.00 0.00 4.03
42.19 93.70 0.00 0.00 3.92
42.25 129.39 0.00 0.00 3.92
42.31 97.02 0.00 0.00 3.92
42.31 117.77 0.00 0.00 3.80
42.31 108.64 0.00 0.00 3.76
42.38 81.25 0.00 0.00 3.80
42.38 108.64 0.00 0.00 3.72
42.38 94.53 0.00 0.00 3.70
42.38 124.41 0.00 0.00 3.64
42.31 102.83 0.00 0.00 3.66
42.31 119.43 0.00 0.00 3.74
42.38 104.49 0.00 0.00 3.93
42.44 108.64 0.00 0.00 3.95
42.50 102.00 0.00 0.00 3.99
42.50 109.47 0.00 0.00 3.95
42.56 100.34 0.00 0.00 4.05
42.63 106.98 0.00 0.00 3.97
42.69 122.75 0.00 0.00 3.99
42.69 98.68 0.00 0.00 3.89
42.75 97.85 0.00 0.00 3.89
42.81 101.17 0.00 0.00 3.97
42.81 93.70 0.00 0.00 3.93
42.88 87.89 0.00 0.00 4.01
42.94 111.13 0.00 0.00 4.17
42.94 111.13 0.00 0.00 4.17
43.00 87.06 0.00 0.00 4.32
43.00 111.96 0.00 0.00 4.21
43.06 116.94 0.00 0.00 4.32
43.13 116.11 0.00 0.00 4.28
43.19 106.98 0.00 0.00 4.28
43.25 98.68 0.00 0.00 4.24
43.31 106.98 0.00 0.00 4.24
43.31 98.68 0.00 0.00 4.13
43.38 102.00 0.00 0.00 4.17
43.38 94.53 0.00 0.00 4.21
43.44 103.66 0.00 0.00 4.28
43.50 104.49 0.00 0.00 4.32
43.63 98.68 0.00 0.00 4.24
43.69 106.98 0.00 0.00 4.28
43.75 92.04 0.00 0.00 3.97
43.75 106.15 0.00 0.00 2.65
43.69 112.79 0.00 0.00 2.34
43.69 115.28 0.00 0.00 4.17
43.81 102.00 0.00 0.00 4.09
43.81 101.17 0.00 0.00 3.04
43.75 98.68 0.00 0.00 2.84
43.69 102.00 0.00 0.00 2.26
43.63 93.70 0.00 0.00 2.10
43.56 93.70 0.00 0.00 2.14
-127.00 107.81 0.00 0.00 2.18
-127.00 99.51 0.00 0.00 3.51
-127.00 115.28 0.00 0.00 3.82
43.81 103.66 0.00 0.00 4.17
43.88 103.66 0.00 0.00 4.24
44.06 93.70 0.00 0.00 4.40
44.19 97.02 0.00 0.00 4.36
44.31 106.15 0.00 0.00 4.36
44.38 114.45 0.00 0.00 4.24
44.50 112.79 0.00 0.00 4.28
44.56 124.41 0.00 0.00 4.17
44.63 106.98 0.00 0.00 3.39
44.56 119.43 0.00 0.00 3.51
44.63 108.64 0.00 0.00 4.24
44.69 104.49 0.00 0.00 4.40
44.75 109.47 0.00 0.00 4.01
-127.00 102.83 0.00 0.00 3.74
-127.00 92.04 0.00 0.00 4.24
-127.00 92.04 0.00 0.00 4.22
-127.00 88.72 0.00 0.00 4.17
-127.00 101.17 0.00 0.00 4.24
-127.00 103.66 0.00 0.00 4.21
-127.00 114.45 0.00 0.00 4.13
-127.00 110.30 0.00 0.00 4.09
-127.00 119.43 0.00 0.00 4.05
-127.00 111.13 0.00 0.00 3.97
-127.00 111.13 0.00 0.00 3.99
-127.00 106.98 0.00 0.00 3.99
-127.00 110.30 0.00 0.00 3.99
-127.00 107.81 0.00 0.00 4.03
-127.00 92.04 0.00 0.00 4.05
-127.00 77.10 0.00 0.00 4.03
-127.00 307.86 0.00 0.00 4.01
-127.00 97.85 0.00 0.00 4.13
-127.00 80.42 0.00 0.00 4.15
-127.00 96.19 0.00 0.00 3.97
-127.00 108.64 0.00 0.00 4.07
-127.00 121.09 0.00 0.00 4.05
-127.00 112.79 0.00 0.00 3.90
-127.00 97.02 0.00 0.00 3.76
-127.00 104.49 0.00 0.00 3.33
-127.00 119.43 0.00 0.00 3.66
-127.00 87.06 0.00 0.00 3.47
-127.00 99.51 0.00 0.00 3.09
-127.00 97.02 0.00 0.00 2.12
-127.00 94.53 0.00 0.00 2.82
-127.00 108.64 0.00 0.00 3.19
-127.00 116.94 0.00 0.00 3.04
-127.00 104.49 0.00 0.00 3.05
-127.00 111.13 0.00 0.00 2.51
-127.00 116.94 0.00 0.00 2.00
-127.00 94.53 0.00 0.00 1.72
-127.00 99.51 0.00 0.00 1.81
-127.00 97.02 0.00 0.00 1.81
-127.00 102.00 0.00 0.00 1.92
-127.00 106.15 0.00 0.00 2.55
-127.00 106.98 0.00 0.00 1.81
-127.00 121.09 0.00 0.00 3.00
-127.00 103.66 0.00 0.00 3.00
-127.00 106.15 0.00 0.00 2.61
-127.00 90.38 0.00 0.00 2.10
-127.00 122.75 0.00 0.00 2.00
-127.00 121.09 0.00 0.00 1.83
-127.00 104.49 0.00 0.00 2.03
-127.00 100.34 0.00 0.00 2.57
-127.00 102.00 0.00 0.00 2.73
-127.00 111.13 0.00 0.00 2.57
-127.00 103.66 0.00 0.00 2.22
-127.00 101.17 0.00 0.00 1.95
-127.00 110.30 0.00 0.00 2.47
-127.00 100.34 0.00 0.00 2.61
-127.00 103.66 0.00 0.00 2.53
-127.00 92.04 0.00 0.00 2.45
-127.00 103.66 0.00 0.00 2.38
-127.00 100.34 0.00 0.00 2.35
-127.00 105.32 0.00 0.00 2.38
-127.00 103.66 0.00 0.00 2.38
-127.00 100.34 0.00 0.00 2.38
-127.00 103.66 0.00 0.00 2.38
-127.00 116.11 0.00 0.00 2.30
-127.00 92.04 0.00 0.00 2.34
43.31 111.96 0.00 0.00 2.30
43.31 114.45 0.00 0.00 2.42
43.25 116.94 0.00 0.00 2.49
43.25 106.98 0.00 0.00 2.61
43.25 107.81 0.00 0.00 2.61
43.19 97.85 0.00 0.00 2.65
43.19 109.47 0.00 0.00 2.53
43.13 106.15 0.00 0.00 2.22
43.06 106.98 0.00 0.00 1.56
42.88 100.34 0.00 0.00 1.25
42.75 102.00 0.00 0.00 1.17
42.63 94.53 0.00 0.00 1.13
42.50 98.68 0.00 0.00 1.13
42.38 118.60 0.00 0.00 1.05
42.25 90.38 0.00 0.00 1.09
42.13 98.68 0.00 0.00 1.05
42.06 108.64 0.00 0.00 1.02
41.88 128.56 0.00 0.00 0.98
41.81 111.96 0.00 0.00 1.02
41.69 96.19 0.00 0.00 0.98
41.63 102.83 0.00 0.00 0.98
41.56 102.83 0.00 0.00 0.94
41.50 117.77 0.00 0.00 0.94
41.44 107.81 0.00 0.00 0.98
41.38 107.81 0.00 0.00 0.92
41.25 110.30 0.00 0.00 0.90
41.19 107.81 0.00 0.00 0.86
41.13 107.81 0.00 0.00 0.89
41.00 107.81 0.00 0.00 0.81
40.94 98.68 0.00 0.00 0.86
40.88 103.66 0.00 0.00 0.81
40.81 102.00 0.00 0.00 0.85
40.75 104.49 0.00 0.00 0.89
40.69 116.94 0.00 0.00 0.85
40.63 90.38 0.00 0.00 0.89
40.56 95.36 0.00 0.00 0.85
40.44 92.04 0.00 0.00 0.85
40.38 126.07 0.00 0.00 0.85
40.31 82.91 0.00 0.00 0.85
40.31 106.98 0.00 0.00 0.85
40.25 93.70 0.00 0.00 0.85
40.19 103.66 0.00 0.00 0.85
40.13 103.66 0.00 0.00 0.85
40.06 102.00 0.00 0.00 0.85
40.06 97.02 0.00 0.00 0.85
40.00 87.06 0.00 0.00 0.85
40.00 105.32 0.00 0.00 0.85
39.94 90.38 0.00 0.00 0.83
39.94 111.13 0.00 0.00 0.85
39.88 105.32 0.00 0.00 0.85
39.88 103.66 0.00 0.00 0.85
39.88 117.77 0.00 0.00 0.85
39.88 116.11 0.00 0.00 0.85
-127.00 97.85 0.00 0.00 0.85
-127.00 92.87 0.00 0.00 0.85
-127.00 102.83 0.00 0.00 0.89
-127.00 87.06 0.00 0.00 0.85
-127.00 107.81 0.00 0.00 0.85
-127.00 110.30 0.00 0.00 0.83
-127.00 111.13 0.00 0.00 0.81
-127.00 111.13 0.00 0.00 0.85
-127.00 110.30 0.00 0.00 0.85
-127.00 96.19 0.00 0.00 0.85
-127.00 121.09 0.00 0.00 0.85
-127.00 99.51 0.00 0.00 0.83
-127.00 117.77 0.00 0.00 0.85
-127.00 103.66 0.00 0.00 0.87
39.25 114.45 0.00 0.00 0.83
39.19 110.30 0.00 0.00 0.87
39.13 107.81 0.00 0.00 0.83
